rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,mistral-large-2402,41.11,40.33,41.89,7.42,7.29,5.68,7.4,6.84,6.47
2,wizardlm-2-8x22b,41.01,41.32,40.71,7.36,7.28,5.62,7.43,6.83,6.49
3,minimax-01,40.88,40.39,41.38,7.37,7.28,5.58,7.37,6.84,6.44
4,yi-large,40.78,41.08,40.48,7.36,7.26,5.57,7.4,6.8,6.4
5,deepseek-v3-0324,40.65,40.78,40.52,7.32,7.26,5.44,7.34,6.85,6.44
6,deepseek-v3,40.4,40.69,40.1,7.28,7.24,5.38,7.35,6.8,6.36
7,claude-3-5-sonnet,40.13,39.94,40.31,7.24,7.18,5.42,7.24,6.72,6.33
8,quasar-alpha,40.04,39.78,40.31,7.22,7.18,5.35,7.28,6.72,6.31
9,gemma-2-9b-sppo-iter3,39.94,40.08,39.81,7.16,7.12,5.38,7.23,6.76,6.3
10,claude-3.5-sonnet-20240620,39.88,39.23,40.53,7.19,7.15,5.38,7.22,6.68,6.26
11,qwen-2-72b-instruct,39.72,39.28,40.17,7.18,7.13,5.31,7.22,6.64,6.24
12,gpt-4-1106-preview,39.7,39.63,39.77,7.16,7.12,5.3,7.21,6.66,6.24
13,llama3.1-8B-instruct,39.62,39.09,40.15,7.18,7.12,5.26,7.2,6.65,6.22
14,llama-3.1-70b-instruct,39.58,39.16,39.99,7.16,7.12,5.26,7.18,6.65,6.21
15,gpt-4o-mini,39.5,39.53,39.48,7.14,7.09,5.26,7.18,6.63,6.2
16,llama-3-1-405b-instruct-fp8,39.49,39.22,39.77,7.14,7.1,5.24,7.18,6.64,6.2
17,gpt-4o,39.47,38.93,40.02,7.15,7.09,5.28,7.18,6.61,6.16
18,llama-3-70b-instruct,39.32,38.9,39.73,7.11,7.08,5.2,7.14,6.6,6.18
19,yi-34b,39.28,39.23,39.33,7.12,7.04,5.24,7.14,6.59,6.13
20,higgs-llama-3-70b,39.18,39.22,39.14,7.05,7.01,5.24,7.12,6.6,6.17
21,gemini-1.5-pro,39.07,39.13,39.01,7.04,7.04,5.16,7.08,6.6,6.14
22,gemini-2.0-flash,38.67,38.07,39.26,6.98,7.0,5.08,7.02,6.52,6.08
23,mythomax-13b,38.35,38.51,38.19,6.98,6.91,5.04,6.98,6.48,5.96
24,gemini-1.5-pro-001,37.97,37.32,38.62,6.84,6.82,5.12,6.78,6.42,6.01
