rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,mistral-large-2402,18.59,18.23,18.96,3.41,3.29,2.28,3.46,3.2,2.94
2,minimax-01,17.96,18.22,17.7,3.3,3.22,2.17,3.42,3.03,2.82
3,yi-large,17.38,17.67,17.09,3.25,3.12,2.05,3.38,2.9,2.68
4,wizardlm-2-8x22b,17.23,17.86,16.59,3.18,3.1,2.05,3.36,2.84,2.69
5,qwen-2-72b-instruct,17.03,17.77,16.3,3.14,3.12,1.96,3.34,2.84,2.64
6,claude-3-5-sonnet,17.0,18.03,15.97,3.08,3.08,2.03,3.26,2.88,2.66
7,claude-3.5-sonnet-20240620,16.91,17.47,16.35,3.12,3.08,1.98,3.28,2.84,2.62
8,deepseek-v3,16.87,17.83,15.91,3.11,3.12,1.96,3.34,2.78,2.58
9,llama3.1-8B-instruct,16.86,17.53,16.2,3.1,3.1,1.95,3.3,2.83,2.6
10,gpt-4-1106-preview,16.79,17.67,15.92,3.09,3.08,1.94,3.29,2.8,2.6
11,llama-3.1-70b-instruct,16.75,17.44,16.06,3.06,3.08,1.96,3.27,2.8,2.58
12,gpt-4o,16.65,17.12,16.19,3.08,3.05,1.93,3.26,2.78,2.56
13,llama-3-1-405b-instruct-fp8,16.63,17.42,15.85,3.04,3.07,1.92,3.28,2.76,2.56
14,yi-34b,16.63,17.1,16.17,3.09,3.07,1.88,3.25,2.8,2.54
15,quasar-alpha,16.54,17.18,15.91,3.02,3.05,1.94,3.27,2.72,2.54
16,deepseek-v3-0324,16.54,17.43,15.65,3.0,3.05,1.91,3.22,2.8,2.56
17,llama-3-70b-instruct,16.52,17.33,15.7,3.02,3.05,1.9,3.26,2.74,2.54
18,gpt-4o-mini,16.49,17.66,15.32,3.04,3.03,1.89,3.26,2.74,2.53
19,gemini-1.5-pro-001,15.69,16.72,14.67,2.89,2.89,1.88,3.01,2.62,2.41
20,mythomax-13b,15.46,16.31,14.6,2.86,2.88,1.7,3.07,2.61,2.33
21,higgs-llama-3-70b,15.41,15.88,14.94,2.83,2.8,1.79,3.04,2.58,2.37
22,gemini-1.5-pro,15.38,16.3,14.46,2.8,2.89,1.77,3.04,2.55,2.32
23,gemini-2.0-flash,15.18,15.79,14.57,2.76,2.87,1.73,3.0,2.52,2.28
24,gemma-2-9b-sppo-iter3,14.7,15.45,13.95,2.72,2.78,1.68,2.95,2.39,2.17
