rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,mistral-large-2402,21.53,19.48,23.58,4.3,3.96,2.17,3.67,3.96,3.47
2,wizardlm-2-8x22b,21.02,19.93,22.11,4.17,3.8,2.08,3.82,3.84,3.32
3,deepseek-llama3-8B-instruct,20.83,18.72,22.95,4.22,3.8,2.04,3.7,3.78,3.3
4,yi-large,20.78,19.68,21.88,4.19,3.8,2.0,3.72,3.8,3.27
5,minimax-01,20.62,18.73,22.5,4.12,3.71,2.02,3.62,3.8,3.34
6,deepseek-r1,20.37,19.06,21.69,3.96,3.46,2.12,3.78,3.64,3.43
7,claude-3-5-sonnet,19.98,18.71,21.25,4.0,3.56,1.91,3.54,3.7,3.27
8,deepseek-v3,19.87,18.76,20.98,3.94,3.48,1.91,3.67,3.62,3.26
9,gemma-2-9b-sppo-iter3,19.76,18.74,20.77,4.12,3.58,1.77,3.58,3.58,3.13
10,deepseek-v3-0324,19.67,18.49,20.86,3.92,3.41,1.89,3.56,3.6,3.29
11,qwen-2-72b-instruct,19.67,17.98,21.36,3.96,3.5,1.83,3.55,3.65,3.19
12,gemini-1.5-pro,19.61,18.22,21.0,4.04,3.54,1.77,3.5,3.6,3.16
13,quasar-alpha,19.49,17.69,21.29,3.9,3.38,1.86,3.55,3.54,3.24
14,gemini-1.5-pro-001,19.48,18.14,20.82,3.98,3.58,1.93,3.34,3.42,3.23
15,llama-3.1-70b-instruct,19.37,17.53,21.21,3.9,3.46,1.8,3.46,3.58,3.18
16,llama-3-1-405b-instruct-fp8,19.29,17.6,20.99,3.89,3.42,1.81,3.46,3.55,3.17
17,llama3.1-8B-instruct,19.27,17.45,21.1,3.88,3.44,1.78,3.45,3.56,3.14
18,gpt-4-1106-preview,19.17,17.68,20.65,3.85,3.38,1.78,3.48,3.56,3.12
19,yi-34b,19.11,17.37,20.85,3.88,3.46,1.72,3.44,3.56,3.07
20,claude-3.5-sonnet-20240620,19.09,16.88,21.3,3.82,3.38,1.8,3.44,3.54,3.11
21,gemini-2.0-flash,19.06,17.22,20.9,3.94,3.42,1.71,3.4,3.49,3.1
22,llama-3-70b-instruct,19.01,17.12,20.9,3.84,3.37,1.76,3.42,3.5,3.12
23,gpt-4o,18.97,16.88,21.06,3.84,3.42,1.74,3.4,3.5,3.06
24,gpt-4o-mini,18.94,17.55,20.34,3.82,3.34,1.73,3.44,3.5,3.1
25,mythomax-13b,18.21,16.5,19.92,3.73,3.3,1.55,3.3,3.41,2.91
26,higgs-llama-3-70b,18.01,16.76,19.27,3.68,3.14,1.67,3.36,3.26,2.89
