rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,mistral-large-2402,20.2,18.8,21.61,3.26,3.22,3.06,3.79,3.54,3.34
2,minimax-01,19.32,18.64,20.01,3.08,3.08,2.92,3.68,3.38,3.18
3,wizardlm-2-8x22b,19.29,18.94,19.64,3.08,3.08,2.89,3.7,3.37,3.18
4,yi-large,18.83,18.45,19.2,2.99,3.0,2.86,3.61,3.28,3.08
5,qwen-2-72b-instruct,18.42,18.0,18.83,2.9,2.94,2.75,3.57,3.24,3.01
6,claude-3-5-sonnet,18.34,18.47,18.21,2.94,2.91,2.74,3.51,3.24,3.0
7,claude-3.5-sonnet-20240620,18.22,18.1,18.34,2.9,2.9,2.72,3.52,3.2,2.97
8,deepseek-v3,18.03,18.14,17.92,2.87,2.88,2.69,3.51,3.15,2.94
9,quasar-alpha,17.96,18.05,17.86,2.86,2.86,2.68,3.5,3.14,2.92
10,gpt-4-1106-preview,17.93,18.0,17.86,2.84,2.86,2.66,3.49,3.17,2.91
11,llama3.1-8B-instruct,17.86,17.65,18.07,2.82,2.86,2.66,3.47,3.15,2.9
12,gpt-4o,17.83,17.4,18.26,2.82,2.86,2.66,3.46,3.15,2.89
13,llama-3.1-70b-instruct,17.83,17.67,17.99,2.82,2.84,2.65,3.46,3.16,2.9
14,deepseek-v3-0324,17.77,18.01,17.52,2.84,2.82,2.64,3.46,3.12,2.9
15,llama-3-1-405b-instruct-fp8,17.71,17.68,17.73,2.8,2.82,2.64,3.44,3.12,2.88
16,yi-34b,17.58,17.61,17.55,2.78,2.8,2.62,3.43,3.12,2.84
17,llama-3-70b-instruct,17.54,17.61,17.47,2.76,2.8,2.61,3.42,3.1,2.84
18,gpt-4o-mini,17.54,17.89,17.18,2.78,2.8,2.6,3.43,3.09,2.84
19,higgs-llama-3-70b,17.35,17.34,17.36,2.78,2.74,2.6,3.36,3.06,2.8
20,gemini-1.5-pro-001,16.44,17.1,15.78,2.55,2.63,2.51,3.16,2.88,2.72
21,mythomax-13b,16.44,16.65,16.23,2.58,2.63,2.4,3.26,2.94,2.62
22,gemma-2-9b-sppo-iter3,16.07,16.6,15.53,2.54,2.52,2.45,3.14,2.8,2.62
23,gemini-1.5-pro,15.91,16.54,15.27,2.49,2.52,2.38,3.14,2.81,2.57
24,gemini-2.0-flash,15.88,16.24,15.53,2.49,2.51,2.38,3.16,2.8,2.56
